"","Date","Precip_mm","Snow_mm","SnowDepth_mm","TempMax_degC","TempMin_degC","TempMean_degC"
"5550",1945-03-12,0.254,5.08,355.6,2.22222222222222,-2.77777777777778,-0.277777777777778
"5551",1945-03-13,1.524,0,330.2,8.33333333333333,-2.77777777777778,2.77777777777778
"5552",1945-03-14,0,0,254,12.2222222222222,-1.11111111111111,5.55555555555556
"5553",1945-03-15,0,0,152.4,17.2222222222222,5,11.1111111111111
"5554",1945-03-16,0,0,101.6,20.5555555555556,7.77777777777778,14.1666666666667
"5555",1945-03-17,0,0,0,22.2222222222222,9.44444444444444,15.8333333333333
"5556",1945-03-18,4.064,0,0,22.2222222222222,5,13.6111111111111
"5557",1945-03-19,0,0,0,15.5555555555556,6.66666666666667,11.1111111111111
"5558",1945-03-20,1.524,0,0,22.7777777777778,11.1111111111111,16.9444444444444
"5559",1945-03-21,14.732,0,NA,21.6666666666667,3.33333333333333,12.5
"5560",1945-03-22,4.064,0,NA,4.44444444444444,-0.555555555555556,1.94444444444444
"5561",1945-03-23,0,0,NA,10,-0.555555555555556,4.72222222222222
"5562",1945-03-24,0,0,NA,15,1.66666666666667,8.33333333333333
"5563",1945-03-25,0,0,NA,16.6666666666667,2.77777777777778,9.72222222222222
"5564",1945-03-26,0,0,NA,18.3333333333333,6.11111111111111,12.2222222222222
"5565",1945-03-27,0.762,0,NA,17.7777777777778,10.5555555555556,14.1666666666667
"5566",1945-03-28,0,0,NA,25.5555555555556,10.5555555555556,18.0555555555556
"5567",1945-03-29,0,0,NA,26.6666666666667,15,20.8333333333333
"5568",1945-03-30,0,0,NA,26.6666666666667,8.88888888888889,17.7777777777778
"5569",1945-03-31,1.27,0,NA,18.8888888888889,8.33333333333333,13.6111111111111
"5570",1945-04-01,0.508,0,NA,21.1111111111111,6.11111111111111,13.6111111111111
"5571",1945-04-02,5.334,0,NA,19.4444444444444,8.88888888888889,14.1666666666667
"5572",1945-04-03,16.51,0,NA,18.3333333333333,11.6666666666667,15
"5573",1945-04-04,0,0,NA,17.7777777777778,3.88888888888889,10.8333333333333
"5574",1945-04-05,27.686,0,NA,10,3.33333333333333,6.66666666666667
"5575",1945-04-06,0,0,NA,9.44444444444444,-2.22222222222222,3.61111111111111
"5576",1945-04-07,0,0,NA,13.3333333333333,3.33333333333333,8.33333333333333
"5577",1945-04-08,0,0,NA,17.7777777777778,3.88888888888889,10.8333333333333
"5578",1945-04-09,0,0,NA,21.1111111111111,7.22222222222222,14.1666666666667
"5579",1945-04-10,0,0,NA,22.7777777777778,8.33333333333333,15.5555555555556
"5580",1945-04-11,0,0,NA,23.3333333333333,11.1111111111111,17.2222222222222
"5581",1945-04-12,0,0,NA,22.7777777777778,12.2222222222222,17.5
"5582",1945-04-13,0,0,NA,26.1111111111111,16.1111111111111,21.1111111111111
"5583",1945-04-14,0,0,NA,26.1111111111111,15.5555555555556,20.8333333333333
"5584",1945-04-15,0,0,NA,17.2222222222222,1.11111111111111,9.16666666666667
"5585",1945-04-16,0.254,0,NA,8.88888888888889,3.33333333333333,6.11111111111111
"5586",1945-04-17,1.524,0,NA,17.2222222222222,5.55555555555556,11.3888888888889
"5587",1945-04-18,5.08,0,NA,17.2222222222222,5,11.1111111111111
"5588",1945-04-19,0.508,0,NA,16.1111111111111,1.11111111111111,8.61111111111111
"5589",1945-04-20,0,0,NA,12.7777777777778,4.44444444444444,8.61111111111111
"5590",1945-04-21,0.762,0,NA,10.5555555555556,5,7.77777777777778
"5591",1945-04-22,1.016,0,NA,7.77777777777778,0.555555555555556,4.16666666666667
"5592",1945-04-23,0,0,NA,11.6666666666667,-0.555555555555556,5.55555555555556
"5593",1945-04-24,0,0,NA,16.6666666666667,2.77777777777778,9.72222222222222
"5594",1945-04-25,18.288,0,NA,15,7.22222222222222,11.1111111111111
"5595",1945-04-26,23.114,0,NA,18.8888888888889,6.66666666666667,12.7777777777778
"5596",1945-04-27,9.144,0,NA,18.8888888888889,4.44444444444444,11.6666666666667
"5597",1945-04-28,0,0,NA,8.88888888888889,1.11111111111111,5
"5598",1945-04-29,0,0,NA,11.1111111111111,2.22222222222222,6.66666666666667
"5599",1945-04-30,7.874,0,NA,12.7777777777778,5,8.88888888888889
"5600",1945-05-01,13.97,0,NA,12.2222222222222,4.44444444444444,8.33333333333333
"5601",1945-05-02,6.35,0,NA,13.3333333333333,3.33333333333333,8.33333333333333
"5602",1945-05-03,0.762,0,NA,10.5555555555556,3.33333333333333,6.94444444444444
"5603",1945-05-04,31.242,0,NA,7.22222222222222,3.88888888888889,5.55555555555556
"5604",1945-05-05,5.842,0,NA,11.6666666666667,5,8.33333333333333
"5605",1945-05-06,0,0,NA,12.7777777777778,4.44444444444444,8.61111111111111
"5606",1945-05-07,0,0,NA,17.2222222222222,5,11.1111111111111
"5607",1945-05-08,7.366,0,NA,17.2222222222222,8.88888888888889,13.0555555555556
"5608",1945-05-09,0,0,NA,12.7777777777778,4.44444444444444,8.61111111111111
"5609",1945-05-10,17.272,27.94,25.4,12.7777777777778,-1.11111111111111,5.83333333333333
"5610",1945-05-11,15.748,0,NA,11.1111111111111,-0.555555555555556,5.27777777777778
"5611",1945-05-12,0,0,NA,17.2222222222222,5.55555555555556,11.3888888888889
"5612",1945-05-13,10.16,0,NA,17.2222222222222,7.22222222222222,12.2222222222222
"5613",1945-05-14,0.508,0,NA,21.1111111111111,7.77777777777778,14.4444444444444
"5614",1945-05-15,0,0,NA,24.4444444444444,12.2222222222222,18.3333333333333
"5615",1945-05-16,11.938,0,NA,24.4444444444444,7.22222222222222,15.8333333333333
"5616",1945-05-17,3.048,0,NA,21.6666666666667,10.5555555555556,16.1111111111111
"5617",1945-05-18,15.494,0,NA,18.8888888888889,14.4444444444444,16.6666666666667
"5618",1945-05-19,38.862,0,NA,18.3333333333333,5.55555555555556,11.9444444444444
"5619",1945-05-20,0.254,0,NA,18.3333333333333,5.55555555555556,11.9444444444444
"5620",1945-05-21,0,0,NA,19.4444444444444,11.6666666666667,15.5555555555556
"5621",1945-05-22,0,0,NA,26.6666666666667,14.4444444444444,20.5555555555556
"5622",1945-05-23,0.762,0,NA,26.1111111111111,10.5555555555556,18.3333333333333
"5623",1945-05-24,0,0,NA,16.1111111111111,6.66666666666667,11.3888888888889
"5624",1945-05-25,0,0,NA,20,6.66666666666667,13.3333333333333
